rx,ry,rz,tx,ty,tz
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.004091,-0.004761,-0.007232,0.000405,-0.001509,0.001462
-0.008314,-0.009768,-0.014292,0.000885,-0.002939,0.003402
-0.012600,-0.014538,-0.020494,0.001113,-0.004370,0.005043
-0.016661,-0.019262,-0.026095,0.001450,-0.005576,0.006061
-0.020803,-0.023841,-0.030937,0.001791,-0.006964,0.006939
-0.024388,-0.027735,-0.034684,0.001893,-0.008149,0.007802
-0.027659,-0.031389,-0.037783,0.002209,-0.009396,0.008486
-0.029760,-0.034135,-0.039657,0.002295,-0.009867,0.008631
-0.031442,-0.035979,-0.040452,0.002179,-0.010365,0.007741
-0.032223,-0.037334,-0.040362,0.002199,-0.010401,0.006619
-0.032320,-0.037828,-0.039037,0.001917,-0.010290,0.005740
-0.031852,-0.037951,-0.036745,0.001737,-0.010092,0.005371
-0.030272,-0.037251,-0.033453,0.001230,-0.009031,0.005034
-0.028913,-0.036205,-0.029097,0.000916,-0.008434,0.004090
-0.026627,-0.034602,-0.024215,0.000493,-0.006976,0.002561
-0.024195,-0.032687,-0.018642,0.000171,-0.005542,0.001221
-0.021642,-0.030240,-0.012484,-0.000350,-0.004074,0.000415
-0.019233,-0.027567,-0.005876,-0.000873,-0.002664,-0.000948
-0.016883,-0.024817,0.000838,-0.001297,-0.001231,-0.002537
-0.014301,-0.022065,0.007142,-0.001748,0.000554,-0.003512
-0.012161,-0.019248,0.013451,-0.002292,0.001840,-0.004672
-0.009442,-0.016476,0.019180,-0.002902,0.003676,-0.005275
-0.007125,-0.013637,0.024641,-0.003630,0.004956,-0.006019
-0.004633,-0.011063,0.029691,-0.004099,0.006232,-0.006897
-0.002044,-0.008375,0.034296,-0.004836,0.007404,-0.007737
0.000579,-0.005813,0.038233,-0.005500,0.008281,-0.008486
0.003804,-0.003800,0.041517,-0.005706,0.009466,-0.008910
0.006325,-0.001447,0.044191,-0.006418,0.009591,-0.009120
